"Foods","Calories","Carbs","Fat","Protein","Cholest","Sodium","Sugars","Fiber","Day","Meal"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-18,"Breakfast"
"Planet Organic - Grain free  paleonola, 60 g",326,24,22,8,0,0,0,0,2017-01-18,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-01-18,"Breakfast"
"Ortiz - Bonito del Norte, 145 g",241,0,10,39,0,0,0,0,2017-01-18,"Lunch"
"Eurest - Mashed Sweet Potatoes, 0.5 cup",143,27,3,2,0,268,7,3,2017-01-18,"Dinner"
"Carrefour - Roti De Porc, 150 g",179,2,5,33,0,1,2,0,2017-01-18,"Dinner"
"Naturata - Dark Chocolate Panama 80% Cocoa - cokolada, 40 g",229,10,20,3,0,0,0,0,2017-01-18,"Snacks"
"Avocado - Avocado, 0.5 medium",117,6,11,1,0,5,1,5,2017-01-18,"Snacks"
"Egg - Egg, Boiled, 1 large egg (50 g)",70,0,5,6,215,71,0,0,2017-01-18,"Snacks"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-01-19,"Breakfast"
"Planet Organic - Grain free  paleonola, 60 g",326,24,22,8,0,0,0,0,2017-01-19,"Breakfast"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-19,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-01-19,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-01-19,"Breakfast"
"Tim Bacon - Bacon, 1 slices (54g)",115,0,4,3,10,150,0,0,2017-01-19,"Breakfast"
"Ortiz - Bonito del Norte, 145 g",241,0,10,39,0,0,0,0,2017-01-19,"Lunch"
"Safeway bacon - Bacon, 2 slice",160,0,14,8,20,520,0,0,2017-01-19,"Lunch"
"Bio - Medjoul-datte, 35 g",97,25,0,1,0,0,0,2,2017-01-19,"Dinner"
"Lamm - Filet, 200 g",238,0,7,44,0,0,0,0,2017-01-19,"Dinner"
"Basmati - Basmati Rice (White) Cooked, 243.75 g (1 Cup)",293,61,1,9,0,0,0,1,2017-01-19,"Dinner"
"Le Pain des fleurs - tartine, 6 tartine",84,12,0,0,0,0,0,0,2017-01-19,"Snacks"
"Naturata - Dark Chocolate Panama 80% Cocoa - cokolada, 40 g",229,10,20,3,0,0,0,0,2017-01-19,"Snacks"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-01-20,"Breakfast"
"Planet Organic - Grain free  paleonola, 60 g",326,24,22,8,0,0,0,0,2017-01-20,"Breakfast"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-20,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-01-20,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-01-20,"Breakfast"
"Organic Workout - Paleobrot, 75 g",164,5,8,11,0,450,1,0,2017-01-20,"Lunch"
"Timea - Avocado, 1 Medium Avocado (150g)",170,15,26,3,0,14,0,12,2017-01-20,"Lunch"
"Mayonnaise - Mayonnaise, 1 tbsp",90,2,10,1,0,0,0,0,2017-01-20,"Lunch"
"rewe - bio Geflugel hackballchen , 150 Gramm",292,6,17,27,0,0,0,0,2017-01-20,"Dinner"
"Basmati - Basmati Rice (White) Cooked, 97.5 g (1 Cup)",117,24,0,3,0,0,0,0,2017-01-20,"Dinner"
"Grunlander - Mild & Nussig Kase, 22 g",79,0,6,5,0,0,0,0,2017-01-20,"Snacks"
"Rewe - Milram Muritzer 55% It, 22 g",85,0,7,5,0,374,0,0,2017-01-20,"Snacks"
"Kerrygold - Cheddar Cheese, 24g Slice = 96 Cal, 1 slice, 24g",96,0,8,6,0,0,0,0,2017-01-20,"Snacks"
"Organic Workout - Paleobrot, 0.75 g",2,0,0,0,0,5,0,0,2017-01-20,"Snacks"
"Bretzel - Bretzel, 1 Bretzel",240,48,2,7,0,5,0,0,2017-01-20,"Snacks"
"Tim Bacon - Bacon, 6 slices (54g)",690,0,21,15,60,900,0,0,2017-01-21,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-01-21,"Breakfast"
"Outtakes - Quinoa and Chickpea Salad, 0.5 cup",134,18,5,4,0,149,2,3,2017-01-21,"Lunch"
"Soya - Soja Milch, 300 ml",156,11,7,12,0,0,0,0,2017-01-21,"Lunch"
"Waitrose - Ratte Potatoes, 250 g",198,43,1,5,0,25,2,6,2017-01-21,"Lunch"
"Omaha Steaks - Filet Mignon, 6 oz",420,0,30,34,108,84,0,0,2017-01-21,"Lunch"
"Butter - Butter, 1 tablespoon",105,0,12,0,38,90,0,0,2017-01-21,"Lunch"
"Lachsforelle - Lachsforelle, 300 Gramm",336,4,9,59,0,0,0,0,2017-01-21,"Dinner"
"Goldahren - Weissbrot, 65 g",180,32,3,6,0,0,2,0,2017-01-21,"Dinner"
"Rice Generic Basmati - Basmati White, 1 cup (158 gr)",191,40,1,6,0,199,0,1,2017-01-22,"Breakfast"
"Paleo - Schoko Musli, 60 g",367,9,31,9,0,0,5,0,2017-01-22,"Breakfast"
"Drinks - Almond Milk (Vanilla), 2 oz",30,6,1,1,0,80,6,0,2017-01-22,"Breakfast"
"Butter - Butter, 1 tablespoon",105,0,12,0,38,90,0,0,2017-01-22,"Lunch"
"Brot | - Brotchen, 87 g",219,78,1,14,0,0,5,4,2017-01-22,"Lunch"
"Homemade - Schnitzel, 250 g",492,35,23,38,75,0,0,0,2017-01-22,"Lunch"
"Home Made - Potato Salad, 1 cup",300,44,3,10,60,360,5,6,2017-01-22,"Lunch"
"Ceasar Salad Bag - Dole, 3.5 oz",150,9,12,5,10,440,2,2,2017-01-22,"Dinner"
"Obst - Himbeere, 125 g",43,6,0,2,0,1,5,9,2017-01-22,"Snacks"
"Blueberries, 1 cup",85,21,1,1,0,1,15,4,2017-01-22,"Snacks"
"Kaiserschmarn - Kaiserschmarn, 300 g",480,64,15,15,0,0,0,0,2017-01-22,"Snacks"
"Beet It Sport - Pro Elite Shot Nitrate 400, 70 ml",68,14,0,3,0,0,9,0,2017-01-22,"Training"
"Generation Ucan - Pomegranate Blueberry (Tub), 18.75 g = 1 SCOOP",60,16,0,0,0,120,0,1,2017-01-22,"Training"
"Generation Ucan - Chocolate (Tub), 0.65 SCOOP (30g)",72,12,1,5,0,83,1,1,2017-01-22,"Training"
"Vega  Sport Performance Protein Chocolate  new - Protein, 0.65 scoop",104,4,2,20,0,241,1,2,2017-01-22,"Training"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-23,"Breakfast"
"Organic Workout - Paleobrot, 75 g",164,5,8,11,0,450,1,0,2017-01-23,"Lunch"
"Usda - Egg, 2 egg (50g)",142,1,10,12,422,140,1,0,2017-01-23,"Lunch"
"Rewe - Milram Muritzer 55% It, 22 g",85,0,7,5,0,374,0,0,2017-01-23,"Lunch"
"Grunlander - Mild & Nussig Kase, 22 g",79,0,6,5,0,0,0,0,2017-01-23,"Lunch"
"Carrefour - Roti De Porc, 165 g",196,2,5,36,0,1,2,0,2017-01-23,"Dinner"
"Della - White Basmati Rice - Cooked, 1 cup",205,45,0,4,0,0,0,0,2017-01-23,"Dinner"
"Rewe - Milram Muritzer 55% It, 22 g",85,0,7,5,0,374,0,0,2017-01-23,"Snacks"
"Kerrygold - Cheddar Cheese, 24g Slice = 96 Cal, 0.5 slice, 24g",48,0,4,3,0,0,0,0,2017-01-23,"Snacks"
"Le Pain des fleurs - tartine, 6 tartine",84,12,0,0,0,0,0,0,2017-01-23,"Snacks"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-24,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-01-24,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-01-24,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-01-24,"Breakfast"
"Keto - Chocolate Granola, 60 g",319,8,29,12,0,84,2,5,2017-01-24,"Breakfast"
"Catarina - Tunfischfilet, 70 g",124,0,9,22,0,0,0,0,2017-01-24,"Lunch"
"Usda - Egg, 2 egg (50g)",142,1,10,12,422,140,1,0,2017-01-24,"Lunch"
"Oil - Olive, 1 tablespoon",119,0,14,0,0,0,0,0,2017-01-24,"Lunch"
"Naturata - Dark Chocolate Panama 80% Cocoa - cokolada, 40 g",229,10,20,3,0,0,0,0,2017-01-24,"Snacks"
"Paleomio - Warrior Bar, 70 g",304,23,17,12,0,0,19,0,2017-01-24,"Training"
"Keto - Chocolate Granola, 60 g",319,8,29,12,0,84,2,5,2017-01-25,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-01-25,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-01-25,"Breakfast"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-25,"Breakfast"
"Generic - French Emental Cheese, 50 g",183,2,13,13,42,92,0,0,2017-01-25,"Breakfast"
"Usda - Egg, 2 egg (50g)",142,1,10,12,422,140,1,0,2017-01-25,"Lunch"
"Mayonnaise - Mayonnaise, 1 tbsp",90,2,10,1,0,0,0,0,2017-01-25,"Lunch"
"Safeway bacon - Bacon, 3 slice",240,0,21,12,30,780,0,0,2017-01-25,"Lunch"
"Schar - Meisterbackers Vital, 128 gram",340,48,12,6,0,0,0,0,2017-01-25,"Lunch"
"Homemade - Boeuf Bourgignon, 1 cups",199,15,7,19,47,217,6,3,2017-01-25,"Dinner"
"Della - White Basmati Rice - Cooked, 0.5 cup",103,22,0,2,0,0,0,0,2017-01-25,"Dinner"
"Usda Choufleur - Choufleur Cuit, 600 g",138,25,3,11,0,90,0,14,2017-01-25,"Dinner"
"Naturata - Dark Chocolate Panama 80% Cocoa - cokolada, 40 g",229,10,20,3,0,0,0,0,2017-01-25,"Snacks"
"Le Pain des fleurs - tartine, 6 tartine",84,12,0,0,0,0,0,0,2017-01-25,"Snacks"
"Raw Olive - Olive, 8 olive (15g)",80,0,8,0,0,0,0,0,2017-01-25,"Snacks"
"Generic - French Emental Cheese, 30 g",110,1,8,8,25,55,0,0,2017-01-26,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-01-26,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-01-26,"Breakfast"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-26,"Breakfast"
"Keto - Chocolate Granola, 60 g",319,8,29,12,0,84,2,5,2017-01-26,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-01-26,"Breakfast"
"Schar - Meisterbackers Vital, 64 gram",170,24,6,3,0,0,0,0,2017-01-26,"Breakfast"
"Lachs - Lachs, 165 g",378,0,26,33,0,0,0,0,2017-01-26,"Lunch"
"Bama - Spinat, 100 g",2,0,0,3,0,100,0,2,2017-01-26,"Lunch"
"Generic - Fresh Steamed Brocoli, 1 cup",30,6,0,3,0,29,2,2,2017-01-26,"Lunch"
"Beets - Raw, 1 cup",58,13,0,2,0,106,9,4,2017-01-26,"Lunch"
"Gemuse - Weisser Spargel, 100 g",13,3,0,2,0,3,1,1,2017-01-26,"Lunch"
"W. Brandenburg - Rinder-Hack, 200 g",440,0,32,38,0,0,0,0,2017-01-26,"Dinner"
"Cheese, cheddar, 1 oz",115,0,10,7,29,183,0,0,2017-01-26,"Dinner"
"Waitrose - Ratte Potatoes, 300 g",237,52,1,6,0,30,2,7,2017-01-26,"Dinner"
"Paleomio - Warrior Bar, 70 g",304,23,17,12,0,0,19,0,2017-01-26,"Snacks"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-27,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-01-27,"Breakfast"
"hofgut storzeln - soja drink vanille, 250 g",148,15,5,9,0,0,15,2,2017-01-27,"Breakfast"
"Schar - Meisterbackers Vital, 64 gram",170,24,6,3,0,0,0,0,2017-01-27,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-01-27,"Breakfast"
"Generic - French Emental Cheese, 30 g",110,1,8,8,25,55,0,0,2017-01-27,"Breakfast"
"Planters - Peanut, 1 ounce",170,5,14,7,0,70,1,2,2017-01-27,"Lunch"
"Plain - Shredded Chicken Breast, 75 g",124,0,3,23,64,135,0,0,2017-01-27,"Lunch"
"Boiled Soyabean - Soyabean, 50 gm",87,5,5,9,0,1,2,3,2017-01-27,"Lunch"
"Carotte, 72 g",30,6,0,1,0,0,0,2,2017-01-27,"Lunch"
"Chia - Chiaseeds, 2 csoupe",100,9,5,3,0,0,0,8,2017-01-27,"Lunch"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-28,"Breakfast"
"Keto - Chocolate Granola, 65 g",345,9,31,13,0,91,2,5,2017-01-28,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-01-28,"Breakfast"
"Outtakes - Quinoa and Chickpea Salad, 1 cup",268,36,10,9,0,299,3,6,2017-01-28,"Lunch"
"Oil - Olive, 1 tablespoon",119,0,14,0,0,0,0,0,2017-01-28,"Lunch"
"Generic - Fresh Steamed Brocoli, 1 cup",30,6,0,3,0,29,2,2,2017-01-28,"Lunch"
"Bama - Spinat, 100 g",2,0,0,3,0,100,0,2,2017-01-28,"Lunch"
"Bergbauern - Bergkase, 50 g",198,0,16,13,0,700,0,0,2017-01-28,"Lunch"
"Wilhelm Brandenburg - Rinder-Leber, 150 g",204,8,6,30,0,0,0,0,2017-01-28,"Dinner"
"Eurest - Mashed Potatoes, 1 cup",214,31,9,3,23,325,2,3,2017-01-28,"Dinner"
"Muller Milch Reis - Kokos, 150 g",176,26,5,5,0,0,17,0,2017-01-28,"Snacks"
"Panera - Blueberry Scone, 0.5 Scone",235,33,10,4,38,450,13,1,2017-01-28,"Snacks"
"king cuisin - hummus, 60 g",217,9,17,5,0,0,0,0,2017-01-28,"Snacks"
"Peppers, sweet, red, raw, 1 cup, chopped",46,9,0,1,0,6,6,3,2017-01-28,"Snacks"
"Almonds - Dark Chocolate Covered Almonds, 10 pieces",213,19,14,4,0,169,15,3,2017-01-28,"Snacks"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-29,"Breakfast"
"Rice Generic Basmati - Basmati White, 1 cup (158 gr)",191,40,1,6,0,199,0,1,2017-01-29,"Breakfast"
"Planet Organic - Paleonola caramel apple pie, 60 g",331,22,22,9,0,0,12,6,2017-01-29,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-01-29,"Breakfast"
"Generic - French Emental Cheese, 30 g",110,1,8,8,25,55,0,0,2017-01-29,"Breakfast"
"Usda - Egg, 2 egg (50g)",142,1,10,12,422,140,1,0,2017-01-29,"Lunch"
"Eggs - White only, raw, 1 large",17,0,0,4,0,55,0,0,2017-01-29,"Lunch"
"Dr. Goerg - Premium Bio-Kokos-Mehl, 60 g",212,13,8,11,0,0,12,25,2017-01-29,"Lunch"
"Himbeeren - Himbeeren, 100 g",43,5,0,1,0,0,5,5,2017-01-29,"Lunch"
"Generic - Sirop Erable Pur, 1.5 tbsp",84,6,0,0,0,0,5,0,2017-01-29,"Lunch"
"W. Brandenburg - Rinder-Hack, 150 g",330,0,24,29,0,0,0,0,2017-01-29,"Dinner"
"Cream corn - Cream Corn, 125 grams",60,14,0,0,0,0,0,0,2017-01-29,"Dinner"
"Eurest - Mashed Sweet Potatoes, 1 cup",285,55,6,3,0,535,15,6,2017-01-29,"Dinner"
"king cuisin - hummus, 40 g",144,6,12,3,0,0,0,0,2017-01-29,"Snacks"
"F-f - Brocoli, 3 Florets 100g",28,5,0,3,0,0,0,3,2017-01-29,"Snacks"
"W. Brandenburg - Rinder-Hack, 75 g",165,0,12,14,0,0,0,0,2017-01-29,"Snacks"
"Nuts Mix - Nuts, 45 g",279,10,22,11,0,68,0,0,2017-01-29,"Snacks"
"Schar - Meisterbackers Vital, 64 gram",170,24,6,3,0,0,0,0,2017-01-29,"Snacks"
"Brie - Brie, 40 g",128,0,10,8,0,0,0,0,2017-01-29,"Snacks"
"FIT RABBIT Bio sport drink - Beetroot, 0.25 cup",24,5,0,1,0,0,5,0,2017-01-29,"Training"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-01-29,"Training"
"Vega - Recovery Accelerator - Tropical (Usa), 27 grams",90,20,0,4,0,150,14,0,2017-01-29,"Training"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-30,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-01-30,"Breakfast"
"Timea - Avocado, 0.75 Medium Avocado (150g)",128,11,20,2,0,11,0,9,2017-01-30,"Breakfast"
"Schar - Meisterbackers Vital, 96 gram",255,36,9,4,0,0,0,0,2017-01-30,"Breakfast"
"Catarina - Tunfischfilet, 70 g",124,0,9,22,0,0,0,0,2017-01-30,"Lunch"
"Usda - Egg, 2 egg (50g)",142,1,10,12,422,140,1,0,2017-01-30,"Lunch"
"Nuts Mix - Nuts, 45 g",279,10,22,11,0,68,0,0,2017-01-30,"Lunch"
"Chicken - Leg, meat only, cooked, roasted, 145 g",277,0,12,39,136,132,0,0,2017-01-30,"Dinner"
"Della - White Basmati Rice - Cooked, 1 cup",205,45,0,4,0,0,0,0,2017-01-30,"Dinner"
"Raw Olive - Olive, 4 olive (15g)",40,0,4,0,0,0,0,0,2017-01-30,"Snacks"
"Le Pain des fleurs - tartine, 4 tartine",56,8,0,0,0,0,0,0,2017-01-30,"Snacks"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-01-31,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-01-31,"Breakfast"
"Timea - Avocado, 0.75 Medium Avocado (150g)",128,11,20,2,0,11,0,9,2017-01-31,"Breakfast"
"Schar - Meisterbackers Vital, 64 gram",170,24,6,3,0,0,0,0,2017-01-31,"Breakfast"
"Catarina - Tunfischfilet, 35 g",62,0,5,11,0,0,0,0,2017-01-31,"Lunch"
"Chicken Breast - Roasted - Chicken Breast, 60 g",118,0,5,18,50,43,0,0,2017-01-31,"Lunch"
"Brotchen - Mehrkornbrotchen, 70 g",155,28,2,4,0,25,3,5,2017-01-31,"Lunch"
"Oil - Olive, 1 tablespoon",119,0,14,0,0,0,0,0,2017-01-31,"Lunch"
"Bofrost - Kartoffeln Gratin, 1 stuck",186,18,10,4,0,1,0,3,2017-01-31,"Lunch"
"Raw - Zuchini, 300 g",51,9,1,4,0,24,8,3,2017-01-31,"Lunch"
"W. Brandenburg - Rinder-Hack, 150 g",330,0,24,29,0,0,0,0,2017-01-31,"Dinner"
"Cream corn - Cream Corn, 125 grams",60,14,0,0,0,0,0,0,2017-01-31,"Dinner"
"Eurest - Mashed Sweet Potatoes, 1 cup",285,55,6,3,0,535,15,6,2017-01-31,"Dinner"
"Naturata - Dark Chocolate Panama 80% Cocoa - cokolada, 20 g",115,5,10,2,0,0,0,0,2017-01-31,"Snacks"
"Nuts Mix - Nuts, 45 g",279,10,22,11,0,68,0,0,2017-01-31,"Snacks"
"Vega - Recovery Accelerator - Tropical (Usa), 27 grams",90,20,0,4,0,150,14,0,2017-01-31,"Training"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-01-31,"Training"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-02-01,"Breakfast"
"Egg - Egg, 2 large egg (50g)",140,0,10,12,370,140,0,0,2017-02-01,"Breakfast"
"Schar - Meisterbackers Vital, 96 gram",255,36,9,4,0,0,0,0,2017-02-01,"Breakfast"
"Planet Organic - Paleonola caramel apple pie, 60 g",331,22,22,9,0,0,12,6,2017-02-01,"Breakfast"
"hofgut storzeln - soja drink vanille, 100 g",59,6,2,4,0,0,6,1,2017-02-01,"Breakfast"
"Chicken - Leg, meat only, cooked, roasted, 145 g",277,0,12,39,136,132,0,0,2017-02-01,"Lunch"
"Della - White Basmati Rice - Cooked, 1 cup",205,45,0,4,0,0,0,0,2017-02-01,"Lunch"
"Laschori - Black Tiger Schrimps, 150 g",86,0,2,18,0,0,0,0,2017-02-01,"Dinner"
"Couscous, cooked, 1.5 cup, cooked",264,55,0,9,0,12,0,3,2017-02-01,"Dinner"
"Nuts Mix - Nuts, 45 g",279,10,22,11,0,68,0,0,2017-02-01,"Snacks"
"Homemade - Vegan Apple Banana Muffin, 1 muffin",220,55,7,4,0,123,12,8,2017-02-01,"Snacks"
"Raw Olive - Olive, 6 olive (15g)",60,0,6,0,0,0,0,0,2017-02-01,"Snacks"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-02-02,"Breakfast"
"Schar - Meisterbackers Vital, 64 gram",170,24,6,3,0,0,0,0,2017-02-02,"Breakfast"
"Egg - Egg, 1 large egg (50g)",70,0,5,6,185,70,0,0,2017-02-02,"Breakfast"
"Tim Bacon - Bacon, 3 slices (54g)",345,0,11,8,30,450,0,0,2017-02-02,"Breakfast"
"Laschori - Black Tiger Schrimps, 150 g",86,0,2,18,0,0,0,0,2017-02-02,"Lunch"
"Couscous, cooked, 1 cup, cooked",176,36,0,6,0,8,0,2,2017-02-02,"Lunch"
"Timea - Avocado, 1 Medium Avocado (150g)",170,15,26,3,0,14,0,12,2017-02-02,"Lunch"
"Couscous, cooked, 1.25 cup, cooked",220,46,0,7,0,10,0,3,2017-02-02,"Lunch"
"Egg - Egg, Boiled, 2 large egg (50 g)",140,0,10,12,430,142,0,0,2017-02-02,"Snacks"
"Naturata - Dark Chocolate Panama 80% Cocoa - cokolada, 40 g",229,10,20,3,0,0,0,0,2017-02-02,"Snacks"
"Trek - Peanut Power, 55 g",203,26,6,10,0,400,21,3,2017-02-02,"Training"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-02-03,"Breakfast"
"Carrefour - Tartines, 4 tartines",90,17,1,3,0,0,1,2,2017-02-03,"Breakfast"
"hofgut storzeln - soja drink vanille, 500 g",295,31,11,18,0,0,30,3,2017-02-03,"Breakfast"
"New Zealand - Rack of Lamb, 250 gram",569,0,40,51,243,763,0,0,2017-02-03,"Dinner"
"Brocoli - Steamed Brocoli, 1 Cup",70,10,1,4,0,49,3,4,2017-02-03,"Dinner"
"Paleomio - Warrior Bar, 70 g",304,23,17,12,0,0,19,0,2017-02-03,"Training"
"Generation Ucan - Cranberry Raspberry, 1 scoop",80,21,0,0,0,160,1,0,2017-02-03,"Training"
"Generation Ucan - Chocolate (Tub), 1 SCOOP (30g)",110,18,1,7,0,128,1,1,2017-02-03,"Training"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-02-03,"Training"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-02-04,"Breakfast"
"hofgut storzeln - soja drink vanille, 500 g",295,31,11,18,0,0,30,3,2017-02-04,"Breakfast"
"Generic - French Emental Cheese, 30 g",110,1,8,8,25,55,0,0,2017-02-04,"Breakfast"
"Schar - Meisterbackers Vital, 64 gram",170,24,6,3,0,0,0,0,2017-02-04,"Breakfast"
"Goodies - Mango Chia, 2.6 serving",343,11,8,6,0,0,0,0,2017-02-04,"Breakfast"
"banana bread - Bread, 1 slice",200,35,6,4,0,133,0,1,2017-02-04,"Breakfast"
"W. Brandenburg - Rinder-Hack, 200 g",440,0,32,38,0,0,0,0,2017-02-04,"Lunch"
"Sweet Potato, 1 cup (133 g)",114,27,0,2,0,73,6,4,2017-02-04,"Lunch"
"Mayonnaise - Mayonnaise, 1 tbsp",90,2,10,1,0,0,0,0,2017-02-04,"Lunch"
"Appenzeller - Appenzeller, 28 g",109,0,9,7,0,0,0,0,2017-02-04,"Lunch"
"Giant Eagle - Hamburger Bun, 1 bun",140,27,2,4,0,220,3,1,2017-02-04,"Lunch"
"migros - kalbs leber tranchen, 130 g",169,6,5,25,0,0,1,0,2017-02-04,"Dinner"
"Homemade - Carrot Mash, 100 g",35,8,0,1,0,0,7,2,2017-02-04,"Dinner"
"Eurest - Mashed Potatoes, 0.5 cup",107,16,4,2,12,163,1,1,2017-02-04,"Dinner"
"king cuisin - hummus, 30 g",108,5,9,2,0,0,0,0,2017-02-04,"Snacks"
"F-f - Brocoli, 3 Florets 100g",28,5,0,3,0,0,0,3,2017-02-04,"Snacks"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-02-05,"Breakfast"
"Rice Generic Basmati - Basmati White, 1 cup (158 gr)",191,40,1,6,0,199,0,1,2017-02-05,"Breakfast"
"Primal Energy - Mct Oil, 15 ml",135,0,15,0,0,0,0,0,2017-02-05,"Breakfast"
"Generic - Homemade Bolognese Sauce, 1 cup",240,5,0,30,0,292,4,0,2017-02-05,"Lunch"
"Cooked - Sweet Potato, 120 g",108,25,0,2,0,43,8,4,2017-02-05,"Lunch"
"Luna & Larry's - Dark Chocolate Organic Coconut Bliss Bar, 0.8 bar",128,13,9,1,0,20,10,1,2017-02-05,"Lunch"
"New Zealand - Rack of Lamb, 250 gram",569,0,40,51,243,763,0,0,2017-02-05,"Dinner"
"Rosemont - Haricots Verts, 1.5 cup",66,14,0,5,0,0,0,7,2017-02-05,"Dinner"
"Usda Choufleur - Choufleur Cuit, 600 g",138,25,3,11,0,90,0,14,2017-02-05,"Dinner"
"Planet Organic - Grain free  paleonola, 60 g",326,24,22,8,0,0,0,0,2017-02-05,"Snacks"
"Demeter - Bio-Joghurt, 100 Gramm",79,5,4,5,0,0,5,0,2017-02-05,"Snacks"
"Almonds - Dark Chocolate Covered Almonds, 6 pieces",128,11,8,2,0,101,9,2,2017-02-05,"Snacks"
"Schar - Meisterbackers Vital, 64 gram",170,24,6,3,0,0,0,0,2017-02-05,"Snacks"
"Brie - Brie, 40 g",128,0,10,8,0,0,0,0,2017-02-05,"Snacks"
"W. Brandenburg - Rinder-Hack, 40 g",88,0,6,8,0,0,0,0,2017-02-05,"Snacks"
"FitRabbit - NO-Booster (richtig), 85 ml",95,20,0,3,0,0,20,0,2017-02-05,"Training"
"Generation Ucan - Tropical Orange Superstarch (Tub), 1 scoop (25g)",80,20,0,0,0,130,0,0,2017-02-05,"Training"
"Bulletproof coffee (12.5g), 1 serving(s)",226,0,25,0,0,0,0,0,2017-02-06,"Breakfast"
"Primal State - Primal Collagen (100% Reines Kollagen Protein Aus Weidehaltung), 15 g",53,0,0,13,0,0,1,0,2017-02-06,"Breakfast"
"Greens Plus - Organic Superfood, 1 scoop (8 gm)",30,4,0,2,0,24,1,2,2017-02-06,"Breakfast"
"Usda - Egg, 2 egg (50g)",142,1,10,12,422,140,1,0,2017-02-06,"Breakfast"
"Schar - Meisterbackers Vital, 96 gram",255,36,9,4,0,0,0,0,2017-02-06,"Breakfast"
"Generic - French Emental Cheese, 30 g",110,1,8,8,25,55,0,0,2017-02-06,"Breakfast"
